ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Stabling_Type,Memorized_Localisation,Update_Priority_Level,Automatic_Awakening,Energy_Monitoring_Inhibition_Area_ID,ATO_Margin_Inhibition_Area_ID,SSP_ID_List,Default_Stop,Coupling_Memorized_Localisation
2172,STL_ZD_102C,TR_S_1831A_ZD,869743,-10,872965,-7,Siding,true,None,false,0,0,SSP_ZD_102C_U;SSP_ZD_102C_D,true,false
2173,STL_ZD_102B,TR_S_1831A_ZD,866505,17,869743,-10,Siding,true,None,false,0,0,SSP_ZD_102B_U;SSP_ZD_102B_D,true,false
2174,STL_ZD_102A,TR_S_1831A_ZD,861309,10,866505,17,Siding,true,None,false,0,0,SSP_ZD_102A_U;SSP_ZD_102A_D,true,false
2175,STL_WPP_100D,TR_S_EOT_239_WPP,190830,-3,194341,51,Siding,true,None,false,0,0,SSP_WPP_100D_D;SSP_WPP_100D_U,true,false
2176,STL_DMZ_100A,TR_S_517_EOS_DMZ,293212,0,296712,0,Siding,true,None,false,0,0,SSP_DMZ_100A_D,true,false
2177,STL_DMZ_100B,TR_S_517_EOS_DMZ,296712,0,299946,0,Siding,true,None,false,0,0,0,true,false
2178,STL_DMZ_100C,TR_S_517_EOS_DMZ,299946,0,303111,0,Siding,true,None,false,0,0,0,true,false
2179,STL_DMZ_100D,TR_S_517_EOS_DMZ,303111,0,306311,0,Siding,true,None,false,0,0,0,true,false
2180,STL_DMZ_101,TR_S_517_EOS_DMZ,306311,0,310511,2171,Siding,true,None,false,0,0,SSP_DMZ_101_U,true,false
2181,STL_DMZ_112A,TR_S_519_EOS_DMZ,298658,1,302154,0,Siding,true,None,false,0,0,SSP_DMZ_112A_D,true,false
2182,STL_DMZ_112B,TR_S_519_EOS_DMZ,302154,0,305380,0,Siding,true,None,false,0,0,0,true,false
2183,STL_DMZ_112C,TR_S_519_EOS_DMZ,305380,0,308566,0,Siding,true,None,false,0,0,0,true,false
2184,STL_DMZ_112D,TR_S_519_EOS_DMZ,308566,0,311720,1,Siding,true,None,false,0,0,0,true,false
2185,STL_DMZ_113,TR_S_519_EOS_DMZ,311720,1,316008,-126,Siding,true,None,false,0,0,SSP_DMZ_113_U,true,false
2186,STL_LCM_190A,TR_S_315_EOS_SLW,482365,0,486565,0,Siding,true,None,false,0,0,SSP_LCM_190A_U;SSP_LCM_190A_D,true,false
2187,STL_LCM_190B,TR_S_315_EOS_SLW,486565,0,489765,0,Siding,true,None,false,0,0,SSP_LCM_190B_U;SSP_LCM_190B_D,true,false
2188,STL_LCM_190C,TR_S_315_EOS_SLW,489765,0,492965,0,Siding,true,None,false,0,0,SSP_LCM_190C_U;SSP_LCM_190C_D,true,false
2189,STL_LCM_190D,TR_S_315_EOS_SLW,492965,0,497165,0,Siding,true,None,false,0,0,SSP_LCM_190D_U;SSP_LCM_190D_D,true,false
2190,STL_LCM_113B,TR_S_317_LCM,529675,0,532875,0,Siding,true,None,false,0,0,SSP_LCM_113B_U;SSP_LCM_113B_D,true,false
2191,STL_LCM_113C,TR_S_317_LCM,532875,0,536075,0,Siding,true,None,false,0,0,SSP_LCM_113C_U;SSP_LCM_113C_D,true,false
2192,STL_LCM_113D,TR_S_317_LCM,536075,0,540275,0,Siding,true,None,false,0,0,SSP_LCM_113D_U;SSP_LCM_113D_D,true,false
