ID,Name,Track_ID,Direction_Of_Traffic,Remote_Door_Opening,Left_Track_ID,Right_Track_ID,Track_Container_Type,No_Evacuation_Way_Side,Secured,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value
2026,TC_313_EOT_LCM,TR_S_313_EOT_LCM,Both,false,TR_2A_CS_GN,TR_S_343_LCM,Open Area,None,false,480591,0
2027,TC_315_EOS_SLW,TR_S_315_EOS_SLW,Both,false,TR_S_343_LCM,TR_4A_SLW_ZD,Open Area,None,false,476057,0
2028,TC_317_LCM,TR_S_317_LCM,Both,false,TR_S_347_LCM,TR_S_367_EOT_LCM,Open Area,None,false,475732,0
2029,TC_343_LCM,TR_S_343_LCM,Both,false,TR_S_313_EOT_LCM,TR_S_373_LCM,Open Area,None,false,498115,0
2030,TC_347_LCM,TR_S_347_LCM,Both,false,TR_S_375_LCM,TR_S_317_LCM,Open Area,None,false,508880,0
2031,TC_367_EOT_LCM,TR_S_367_EOT_LCM,Both,false,TR_S_317_LCM,0,Open Area,None,false,520609,0
2032,TC_373_LCM,TR_S_373_LCM,Both,false,TR_S_343_LCM,TR_S_375_LCM,Open Area,None,false,520321,0
2033,TC_375_LCM,TR_S_375_LCM,Both,false,TR_S_373_LCM,TR_S_347_LCM,Open Area,None,false,521394,0
2034,TC_5B_MDW_MDW,TR_5B_MDW_MDW,Both,false,TR_1A_CS_GN,TR_5C_MDW_MDW,Open Area,None,false,573202,177
2035,TC_6B_MDW_MDW,TR_6B_MDW_MDW,Both,false,TR_2A_CS_GN,TR_6C_MDW_MDW,Open Area,None,false,573688,189
2036,TC_5C_MDW_MDW,TR_5C_MDW_MDW,Both,false,TR_5B_MDW_MDW,TR_6C_MDW_MDW,Open Area,None,false,574124,0
2037,TC_6C_MDW_MDW,TR_6C_MDW_MDW,Both,false,TR_5C_MDW_MDW,TR_2A_CS_GN,Open Area,None,false,573422,88
2038,TC_421_LCM,TR_S_421_LCM,Both,false,TR_S_317_LCM,0,Open Area,None,false,541201,0
2039,TC_409_LCM,TR_I_409_LCM,Both,false,0,0,Open Area,None,false,0,0
