ID,Name,ATC_Equipment_Type,SSID,Urbalis_Sector_ID,IP_Address_Blue,IP_Address_Red,MIB_IP_Address_Blue,MIB_IP_Address_Red,Subnet_Mask_Blue,Subnet_Mask_Red,Gateway_IP_Address_Blue,Gateway_IP_Address_Red,Technical_Room_ID,Train_ID
5951,TRS_1_63,TRS_1,63,0,0.0.0.0,10.65.63.137,0.0.0.0,10.65.63.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.63.137,0,63
5952,TRS_1_64,TRS_1,64,0,0.0.0.0,10.65.64.137,0.0.0.0,10.65.64.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.64.137,0,64
5953,TRS_1_65,TRS_1,65,0,0.0.0.0,10.65.65.137,0.0.0.0,10.65.65.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.85.137,0,65
5954,TRS_1_66,TRS_1,66,0,0.0.0.0,10.65.66.137,0.0.0.0,10.65.66.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.66.137,0,66
5955,TRS_1_67,TRS_1,67,0,0.0.0.0,10.65.67.137,0.0.0.0,10.65.67.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.67.137,0,67
5956,TRS_1_68,TRS_1,68,0,0.0.0.0,10.65.68.137,0.0.0.0,10.65.68.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.68.137,0,68
5957,TRS_1_69,TRS_1,69,0,0.0.0.0,10.65.69.137,0.0.0.0,10.65.69.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.69.137,0,69
5958,TRS_1_70,TRS_1,70,0,0.0.0.0,10.65.70.137,0.0.0.0,10.65.70.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.70.137,0,70
5959,TRS_1_71,TRS_1,71,0,0.0.0.0,10.65.71.137,0.0.0.0,10.65.71.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.71.137,0,71
5960,TRS_1_72,TRS_1,72,0,0.0.0.0,10.65.72.137,0.0.0.0,10.65.72.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.72.137,0,72
5961,TRS_1_73,TRS_1,73,0,0.0.0.0,10.65.73.137,0.0.0.0,10.65.73.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.73.137,0,73
5962,TRS_1_74,TRS_1,74,0,0.0.0.0,10.65.74.137,0.0.0.0,10.65.74.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.74.137,0,74
5963,TRS_1_75,TRS_1,75,0,0.0.0.0,10.65.75.137,0.0.0.0,10.65.75.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.75.137,0,75
5964,TRS_1_76,TRS_1,76,0,0.0.0.0,10.65.76.137,0.0.0.0,10.65.76.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.76.137,0,76
5965,TRS_1_77,TRS_1,77,0,0.0.0.0,10.65.77.137,0.0.0.0,10.65.77.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.77.137,0,77
5966,TRS_1_78,TRS_1,78,0,0.0.0.0,10.65.78.137,0.0.0.0,10.65.78.137,255.255.255.0,255.255.255.0,0.0.0.0,10.85.78.137,0,78
