ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Direction_After_Change_Of_Ends,Traffic_Direction_Self_Normalized
2075,COE_GZH_5E_LU_1_U,TR_5E_DMZ_GPP,843160,-43,863077,11,Up,false
2076,COE_GZH_5E_LU_1_D,TR_5E_DMZ_GPP,843160,-43,863077,11,Down,false
2077,COE_GZH_6E_RD_2_U,TR_6E_DMZ_GPP,844273,-41,864194,27,Up,false
2078,COE_GZH_6E_RD_2_D,TR_6E_DMZ_GPP,844273,-41,864194,27,Down,false
2079,COE_KEN_5E_LU_5_U,TR_5E_DMZ_GPP,933511,-24,952498,14,Up,false
2080,COE_KEN_5E_LU_5_D,TR_5E_DMZ_GPP,933511,-24,952498,14,Down,false
2081,COE_KEN_6E_RD_6_12_U,TR_6E_DMZ_GPP,934584,9,953545,-74,Up,false
2082,COE_KEN_6E_RD_6_12_D,TR_6E_DMZ_GPP,934584,9,953545,-74,Down,false
2083,COE_GPP_5E_LU_9_U,TR_5E_DMZ_GPP,998053,17,1024138,-75,Up,false
2084,COE_GPP_5E_LU_9_D,TR_5E_DMZ_GPP,998053,17,1024138,-75,Down,false
2085,COE_GPP_6E_RD_16_U,TR_6E_DMZ_GPP,1005575,20,1025354,-94,Up,false
2086,COE_GPP_6E_RD_16_D,TR_6E_DMZ_GPP,1005575,20,1025354,-94,Down,false
2087,COE_WPP_100A_100D_U,TR_S_EOT_239_WPP,181246,-1,194341,51,Up,false
2088,COE_SLW_100A_100B_U,TR_S_EOT_309_SLW,447076,-3,455367,-46,Up,false
2089,COE_LCM_125A_125D_D,TR_S_313_EOT_LCM,532919,0,546869,0,Down,false
2091,COE_LCM_170_D,TR_S_367_EOT_LCM,527431,0,540516,0,Down,false
2092,COE_BLW_101A_101D_D,TR_S_627_EOT_BLW,924992,-23,941681,0,Down,false
2093,COE_GN_110A_110E_D,TR_S_673_EOT_GN,1257468,48,1275502,0,Down,false
2094,COE_GN_20A_20E_D,TR_2A_CS_GN,1257517,-3,1275488,-5,Down,false
2095,COE_GN_13A_13E_D,TR_1A_CS_GN,1258881,67,1276896,-8,Down,false
2096,COE_GN_100A_100E_D,TR_S_671_EOT_GN,1258963,16,1276913,0,Down,false
2099,COE_DMZ_120A_120C_D,TR_S_531_EOT_DMZ,292606,19,328864,247,Down,false
2100,COE_GPP_130A_130D_D,TR_S_585_EOT_GPP,1035809,49,1049289,-154,Down,false
2101,COE_GPP_120A_120D_D,TR_S_581_EOT_GPP,1035809,112,1049251,-110,Down,false
2102,COE_GPP_20A_20D_D,TR_6E_DMZ_GPP,1033253,12,1049495,-39,Down,false
2103,COE_GPP_110A_110D_D,TR_S_583_EOT_GPP,1034092,-41,1048363,-42,Down,false
2104,COE_GPP_13A_13D_D,TR_5E_DMZ_GPP,1034092,27,1048335,1,Down,false
2105,COE_GPP_100A_100D_D,TR_S_579_EOT_GPP,1031595,-1,1048414,0,Down,false
2106,COE_VSW_6E_RD_10_U,TR_6E_DMZ_GPP,722031,-6,800190,-11,Up,false
