ID,Name,Track_ID,PSR_Type,Direction,PSR_Speed,KpValue,KpCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List
1300,PSR_3207_ND_ZD_SD,TR_S_EOT_3207_ND,Safety,Down,27,642885,-740,0
1301,PSR_3213_ND_ZD_FD,TR_S_EOT_3213_ND,Functional,Down,25,651476,2,0
1302,PSR_3213_ND_ZD_SD,TR_S_EOT_3213_ND,Safety,Down,27,651476,2,0
1303,PSR_3211_ND_ZD_FD,TR_S_EOT_3211_ND,Functional,Down,25,651476,8,0
1304,PSR_3211_ND_ZD_SD,TR_S_EOT_3211_ND,Safety,Down,27,651476,8,0
1305,PSR_7A_ND_ZD_2_FU,TR_7A_ND_ZD,Functional,Up,80,659400,0,0
1306,PSR_7A_ND_ZD_2_SU,TR_7A_ND_ZD,Safety,Up,88,659400,0,0
1307,PSR_7A_ND_ZD_1_SD,TR_7A_ND_ZD,Safety,Down,27,659400,0,0
1308,PSR_7A_ND_ZD_1_FD,TR_7A_ND_ZD,Functional,Down,25,659400,0,0
1309,PSR_8_ND_ZD_2_FU,TR_8_ND_ZD,Functional,Up,80,659400,0,0
1310,PSR_8_ND_ZD_2_SU,TR_8_ND_ZD,Safety,Up,88,659400,0,0
1311,PSR_8_ND_ZD_1_FD,TR_8_ND_ZD,Functional,Down,25,659400,0,0
1312,PSR_8_ND_ZD_1_SD,TR_8_ND_ZD,Safety,Down,27,659400,0,0
1313,PSR_3277_ND_ZD_1_FU,TR_S_EOT_3277_CSN,Functional,Up,25,918512,417,0
1314,PSR_3277_ND_ZD_1_SU,TR_S_EOT_3277_CSN,Safety,Up,27,918512,417,0
1315,PSR_3277_ND_ZD_2_FD,TR_S_EOT_3277_CSN,Functional,Down,25,943517,67,0
1316,PSR_3277_ND_ZD_2_SD,TR_S_EOT_3277_CSN,Safety,Down,27,943517,67,0
1317,PSR_7A_ND_ZD_2_FD,TR_7A_ND_ZD,Functional,Down,80,1006400,0,0
1318,PSR_7A_ND_ZD_2_SD,TR_7A_ND_ZD,Safety,Down,88,1006400,0,0
1319,PSR_7A_ND_ZD_3_FU,TR_7A_ND_ZD,Functional,Up,70,1006400,0,0
1320,PSR_7A_ND_ZD_3_SU,TR_7A_ND_ZD,Safety,Up,77,1006400,0,0
1321,PSR_8_ND_ZD_3_FU,TR_8_ND_ZD,Functional,Up,70,1006400,0,0
1322,PSR_8_ND_ZD_3_SU,TR_8_ND_ZD,Safety,Up,77,1006400,0,0
1323,PSR_8_ND_ZD_2_FD,TR_8_ND_ZD,Functional,Down,80,1006400,0,0
1324,PSR_8_ND_ZD_2_SD,TR_8_ND_ZD,Safety,Down,88,1006400,0,0
1325,PSR_8_ND_ZD_3_FD,TR_8_ND_ZD,Functional,Down,70,1123300,0,0
1326,PSR_8_ND_ZD_3_SD,TR_8_ND_ZD,Safety,Down,77,1123300,0,0
1327,PSR_8_ND_ZD_4_FU,TR_8_ND_ZD,Functional,Up,60,1123300,0,0
1328,PSR_8_ND_ZD_4_SU,TR_8_ND_ZD,Safety,Up,65,1123300,0,0
1329,PSR_7A_ND_ZD_3_FD,TR_7A_ND_ZD,Functional,Down,70,1123300,0,0
1330,PSR_7A_ND_ZD_3_SD,TR_7A_ND_ZD,Safety,Down,77,1123300,0,0
1331,PSR_7A_ND_ZD_4_FU,TR_7A_ND_ZD,Functional,Up,60,1123300,0,0
1332,PSR_7A_ND_ZD_4_SU,TR_7A_ND_ZD,Safety,Up,65,1123300,0,0
1333,PSR_8_ND_ZD_4_FD,TR_8_ND_ZD,Functional,Down,60,1159500,0,0
1334,PSR_8_ND_ZD_4_SD,TR_8_ND_ZD,Safety,Down,65,1159500,0,0
1335,PSR_8_ND_ZD_5_FU,TR_8_ND_ZD,Functional,Up,70,1159500,0,0
1336,PSR_8_ND_ZD_5_SU,TR_8_ND_ZD,Safety,Up,77,1159500,0,0
1337,PSR_7A_ND_ZD_4_FD,TR_7A_ND_ZD,Functional,Down,60,1159800,0,0
1338,PSR_7A_ND_ZD_4_SD,TR_7A_ND_ZD,Safety,Down,65,1159800,0,0
1339,PSR_7A_ND_ZD_5_FU,TR_7A_ND_ZD,Functional,Up,70,1159800,0,0
1340,PSR_7A_ND_ZD_5_SU,TR_7A_ND_ZD,Safety,Up,77,1159800,0,0
1341,PSR_8_ND_ZD_5_FD,TR_8_ND_ZD,Functional,Down,70,1453160,-285,0
1342,PSR_8_ND_ZD_5_SD,TR_8_ND_ZD,Safety,Down,77,1453160,-285,0
1343,PSR_8_ND_ZD_6_FU,TR_8_ND_ZD,Functional,Up,70,1453160,-285,0
1344,PSR_8_ND_ZD_6_SU,TR_8_ND_ZD,Safety,Up,77,1453160,-285,0
1345,PSR_7A_ND_ZD_5_FD,TR_7A_ND_ZD,Functional,Down,70,1454200,9,0
1346,PSR_7A_ND_ZD_5_SD,TR_7A_ND_ZD,Safety,Down,77,1454200,9,0
1347,PSR_7A_ND_ZD_6_FU,TR_7A_ND_ZD,Functional,Up,60,1454200,9,0
1348,PSR_7A_ND_ZD_6_SU,TR_7A_ND_ZD,Safety,Up,65,1454200,9,0
1349,PSR_8_ND_ZD_6_FD,TR_8_ND_ZD,Functional,Down,60,1502200,0,0
1350,PSR_8_ND_ZD_6_SD,TR_8_ND_ZD,Safety,Down,65,1502200,0,0
1351,PSR_8_ND_ZD_7_FU,TR_8_ND_ZD,Functional,Up,70,1502200,0,0
1352,PSR_8_ND_ZD_7_SU,TR_8_ND_ZD,Safety,Up,77,1502200,0,0
1353,PSR_7A_ND_ZD_6_FD,TR_7A_ND_ZD,Functional,Down,60,1502700,0,0
1354,PSR_7A_ND_ZD_6_SD,TR_7A_ND_ZD,Safety,Down,65,1502700,0,0
1355,PSR_7A_ND_ZD_7_FU,TR_7A_ND_ZD,Functional,Up,70,1502700,0,0
1356,PSR_7A_ND_ZD_7_SU,TR_7A_ND_ZD,Safety,Up,77,1502700,0,0
1357,PSR_8_ND_ZD_8_FU,TR_8_ND_ZD,Functional,Up,50,1565700,0,0
1358,PSR_8_ND_ZD_8_SU,TR_8_ND_ZD,Safety,Up,55,1565700,0,0
1359,PSR_8_ND_ZD_7_FD,TR_8_ND_ZD,Functional,Down,70,1565700,0,0
1360,PSR_8_ND_ZD_7_SD,TR_8_ND_ZD,Safety,Down,77,1565700,0,0
1361,PSR_8_ND_ZD_8_FD,TR_8_ND_ZD,Functional,Down,50,1573500,150,0
