ID,Name,Basic_Multitrack_Zone_ID_List,Critical,Technical_Room_ID,Give_Take_Isolation_Zone_Characteristics_ID,SPKS_ID,Switch_Normal_ID_List,Switch_Reverse_ID_List,Signal_ID_List,Route_ID_List
1039,GTIZ_NZ_W_85,BMZ_NZ_1_85,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_47_U_ZD,R_49_ZD_45_ZD;R_38_ZD_45_ZD;R_49_ZD_45_ZD_C;R_38_ZD_45_ZD_C
1040,GTIZ_NZ_W_91,BMZ_NZ_1_87;BMZ_NZ_1_89;BMZ_NZ_1_91,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_47_U_ZD,R_55_ZD_49_ZD;R_34A_ZD_49_ZD
1041,GTIZ_NZ_W_93,BMZ_NZ_1_93,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_51_U_ZD;SI_40_U_ZD;SI_53_D_ZD,0
1042,GTIZ_NZ_W_80,BMZ_NZ_2_80,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,0,R_9_VZG_34_ZD;R_10_VZG_34_ZD;R_9_VZG_34_ZD_C;R_10_VZG_34_ZD_C;R_49_ZD_34_ZD;R_38_ZD_34_ZD;R_49_ZD_34_ZD_C;R_38_ZD_34_ZD_C
1043,GTIZ_NZ_W_82,BMZ_NZ_2_82,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_34A_U_ZD,R_49_ZD_34_ZD;R_38_ZD_34_ZD;R_49_ZD_34_ZD_C;R_38_ZD_34_ZD_C
1044,GTIZ_NZ_W_84,BMZ_NZ_2_84;BMZ_NZ_2_86,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,SI_36_U_ZD;SI_36_D_ZD,R_49_ZD_34_ZD;R_49_ZD_34_ZD_C;R_45A_ZD_38_ZD
1045,GTIZ_NZ_W_88,BMZ_NZ_2_88,Not Critical,TCR_ZD_M_4A_R,GTIZC_WZ,0,0,0,0,R_45A_ZD_38_ZD;R_34A_ZD_38_ZD;R_55_ZD_38_ZD
2001,GTIZ_CT_W_10,BMZ_CT_2_10,Not Critical,TCR_CS_M_1A_L,GTIZC_WZ,0,0,0,0,R_4A_CS_2_CS;R_3A_CS_2_CS_C;R_4A_CS_2_CS_C;R_3A_CS_2_CS
2002,GTIZ_CT_W_11,BMZ_CT_1_11,Not Critical,TCR_CS_M_1A_L,GTIZC_WZ,0,0,0,0,R_3A_CS_1_CS;R_4A_CS_1_CS;R_3A_CS_1_CS_C;R_4A_CS_1_CS_C
2003,GTIZ_CT_W_10_11,BMZ_CT_2_10;BMZ_CT_1_11,Not Critical,TCR_CS_M_1A_L,GTIZC_MB,SPKS_CT_W_10_11,0,0,0,R_3A_CS_2_CS;R_4A_CS_2_CS;R_3A_CS_2_CS_C;R_4A_CS_2_CS_C;R_3A_CS_1_CS;R_4A_CS_1_CS;R_3A_CS_1_CS_C;R_4A_CS_1_CS_C
2004,GTIZ_CT_W_12,BMZ_CT_2_12;BMZ_CT_2_14,Not Critical,TCR_CS_M_1A_L,GTIZC_WZ,0,0,0,SI_4_U_CS;SI_4_D_CS,R_1_CS_2_WPP;R_1_CS_2_WPP_C
2005,GTIZ_CT_W_13,BMZ_CT_1_13;BMZ_CT_1_15,Not Critical,TCR_CS_M_1A_L,GTIZC_WZ,0,0,0,SI_3_U_CS;SI_3_D_CS,R_4A_CS_1_CS;R_4A_CS_1_CS_C;R_2_CS_1_WPP;R_2_CS_1_WPP_C
2006,GTIZ_CT_W_20,BMZ_CT_2_20,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,SI_4_D_WPP,R_1_CS_2_WPP;R_1_CS_2_WPP_C;R_2_CS_2_WPP;R_2_CS_2_WPP_C
2007,GTIZ_CT_W_21,BMZ_CT_1_21,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,SI_3_D_WPP,R_1_CS_1_WPP;R_1_CS_1_WPP_C;R_2_CS_1_WPP;R_2_CS_1_WPP_C
2008,GTIZ_CT_W_22,BMZ_CT_2_22;BMZ_CT_2_30,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,SI_4_U_WPP,R_10_WPP_6_WPP;R_10_WPP_6_WPP_C
2009,GTIZ_CT_W_31,BMZ_CT_1_23;BMZ_CT_1_31;BMZ_CT_1_33;BMZ_CT_1_35,Not Critical,TCR_WPP_M_1A_R,GTIZC_WZ,0,0,0,SI_3_U_WPP;SI_9_D_WPP,R_100C_WPP_11_WPP;R_10_WPP_5_WPP;R_100C_WPP_11_WPP_C;R_10_WPP_5_WPP_C
