ID,Name,Type,Direction,Physical,Physical_Object_To_Measure,Choice_Selection_KP_Selection_Offset,Selection_KPTrack_ID,Selection_KPKpValue,Selection_KPKpCorrected_Trolley_Value,Selection_OffsetObject_Type,Selection_OffsetObject_ID,Selection_OffsetKP_Type,Selection_OffsetOffset
2028,PSB_8_611B_SVT_34,Generic,Both,false,None,Selection_KP,TR_I_611_SVT,16537,0,None,0,None,0
2029,PSB_7_627_BLW_53,Generic,Both,false,None,Selection_KP,TR_S_627_EOT_BLW,913871,0,None,0,None,0
2030,PSB_8_633A_BLW_52,Generic,Both,false,None,Selection_KP,TR_I_633_BLW,0,0,None,0,None,0
2031,PSB_100_633B_BLW_55,Generic,Both,false,None,Selection_KP,TR_I_633_BLW,9915,0,None,0,None,0
2032,PSB_12_639A_BLW_52,Generic,Both,false,None,Selection_KP,TR_I_639_BLW,0,0,None,0,None,0
2033,PSB_11_639B_BLW_57,Generic,Both,false,None,Selection_KP,TR_I_639_BLW,12519,0,None,0,None,0
2034,PSB_11_641A_BLW_57,Generic,Both,false,None,Selection_KP,TR_I_641_BLW,0,0,None,0,None,0
2035,PSB_12_641B_BLW_54,Generic,Both,false,None,Selection_KP,TR_I_641_BLW,12691,0,None,0,None,0
2036,PSB_14_659A_GN_74,Generic,Both,false,None,Selection_KP,TR_I_659_GN,0,0,None,0,None,0
2037,PSB_7_659B_GN_75,Generic,Both,false,None,Selection_KP,TR_I_659_GN,5581,0,None,0,None,0
2038,PSB_7_661A_GN_75,Generic,Both,false,None,Selection_KP,TR_I_661_GN,0,0,None,0,None,0
